Key;Label;�rea Neg�cio;Pasta;Ficheiro;Tipo de Dado;Clas. Risco;Densidade Risco;Nr Dados;Tamanho Documento
1;RPT000001;Apoio;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2012\10\23\d44f370c-73e5-4334-bb92-b520bc1c41f5\;922c5f4e-6145-4387-8798-33fc8fc31705.pdf;;0;0.00000;0;2617
2;RPT000002;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\2\19\7abb4057-93ce-40f4-87f8-2492b2d31d14\;905da5dc-c33b-469c-abbd-e5cd9c340e19.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;3163
3;RPT000003;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\1\27\ec4eb35b-a181-4de2-91c7-f68f5259af10\;bf6d4089-b15d-4cef-b526-7c7f68cdcd32.1..pdf;Filiacao, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;17;1395
4;RPT000004;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\11\29\9f7d59cd-9e36-4b28-b199-be5588372176\;4af03c6a-7d72-44a4-8c02-4347b3345828.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;2012
5;RPT000005;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\7\17\58f486ea-2c2b-4bd6-8c7e-d434aa4ffa7e\;b7abce11-b0f1-458f-b24b-42a48ec17875.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;2398
6;RPT000006;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\3\30\0bdd5f4d-4130-4f03-adee-d97447cbfb15\;7a141713-a358-44ef-83bb-71faff91560f.1..pdf;;0;0.00000;0;1497
7;RPT000007;Custos das unidades;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2012\7\27\a932132e-71f8-4afe-91af-0636d882be5c\;b5f70af8-4d29-449c-8362-ba82826acc86.pdf;CPostal, Data, EMAIL, DesignacaoCP, Nome;2;0.00013;25;20493
8;RPT000008;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\2\2\585ebe3a-9df9-4262-abeb-f794a3a21164\;300f6ade-e7cb-48f7-bb98-0f0e3ed3ab78.1..pdf;Filiacao, IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;19;7619
9;RPT000009;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\8\22\77e7c20c-2fbd-4645-91a2-3abd110ee21a\;9c3d31ff-a017-433e-963e-5d8517cccd3a.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;20;3071
10;RPT000010;Projectos externos;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\6\6\022d18f1-1f99-4c65-a2ca-8deccc4c1a23\;28b79189-3fd8-4dea-84b9-daa96b4fa3eb.1..pdf;;0;0.00000;0;4307
11;RPT000011;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\9\12\b50c56ac-7176-4ae2-96b3-d38af26e2980\;b1a13385-2496-4d56-81e8-2ad95c972329.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;1287
12;RPT000012;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\3\10\25e988f6-f0ab-4eff-8481-5b29c55e12b3\;18f5ca8b-53e3-45e6-ae58-892676ebc52b.pdf;Morada, CPostal, Data, EMAIL, Nome;2;0.00013;16;2163
13;RPT000013;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2010\8\30\7698c621-e40b-4b06-8869-9de201294321\;2010_08_30_18_00_13.pdf;Telefone, Data, Nome, DesignacaoCP;2;0.00013;10;5423
14;RPT000014;Custos das unidades;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\7\6\79cad334-086b-4f99-a070-51855a25407c\;9b833388-bc2c-4bab-85aa-363f2f65e9bd.1..pdf;;0;0.00000;0;5181
15;RPT000015;Custos das unidades;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\2\19\8e0c7892-1a1c-453f-8ad1-ef940978eacf\;97bacf57-df68-4093-8121-2c965da89d9f.1..xlsx;Profissao, Nome, DesignacaoCP;2;0.00013;492;1819
16;RPT000016;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\1\5\81342329-9760-4250-9e88-90abab338922\;6bf7615d-f749-4fb2-a52b-d32798e30e71.1..pdf;IBAN, Profissao, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;23;1360
17;RPT000017;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\7\31\f2e93ccf-e75d-4007-9422-d99bdbc962af\;db5e9044-26f3-4676-81f7-28fbf5323e46.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;20;8607
18;RPT000018;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\3\12\4fc1c65a-347b-49a8-95d0-c05dbba685b0\;c75e01aa-7b53-4a74-a838-ee762dc94717.1..pdf;Filiacao, Profissao, Telefone, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;28;1138
19;RPT000019;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\10\22\7ed06d0f-57ae-4eb2-bbb2-b498604e47b6\;5062d637-f4d7-47f9-b54a-7a8b17455e0a.1..pdf;Filiacao, IBAN, Profissao, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;18;1553
20;RPT000020;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2018\3\16\95c0459b-86fc-478a-b193-f0d6febdc17d\;4db93e6a-65cb-4aeb-855f-fc19639076f8.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;8479
21;RPT000021;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\12\28\56cc2d76-6272-4ff2-9741-b8c520905861\;22acaa26-3c68-4f26-b7ca-0adfb4ddbcb4.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;8461
22;RPT000022;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\4\2\6722d289-e6eb-494c-85a1-1b7f367d8099\;8cf2b852-7921-4e9c-acbe-f8dcf855b708.pdf;Morada, CPostal, Data, EMAIL, Nome;2;0.00013;19;2729
23;RPT000023;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\12\29\ff48f656-9cd6-4ee0-9c19-1eebc4f46811\;37446802-46c3-4b6c-a253-5786e3644a60.1..pdf;Profissao, Telemovel, Morada, Data, EMAIL, Nome;2;0.00013;25;2394
24;RPT000024;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\11\20\6c318791-c355-4206-bdb4-4a423980aba8\;8dbb3cd2-961e-48ea-ac93-2a7fff3f5ec3.1..pdf;Filiacao, IBAN, NIB, Telefone, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;19;8653
25;RPT000025;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2013\12\20\edb44bb4-3090-4a59-81a6-4e64c83363f4\;1cc7b278-21fc-4561-bcdf-60a200a63acf.pdf;Filiacao, CPostal, Data, DesignacaoCP, Nome;5;0.00017;10;319
26;RPT000026;Projectos externos;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2013\9\24\d6fd4593-557c-460a-8e98-a8c86c7c6b3e\;9ffaf870-a9f0-4056-9526-24410111b58d.pdf;;0;0.00000;0;1173
27;RPT000027;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2015\10\22\1ebee992-f4bd-4c62-8dcd-c34ed370829b\;7dca4e63-b7bb-44f7-b466-8dc137498418.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;1407
28;RPT000028;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2010\1\12\51b34ae9-8390-4dec-84c1-9cfc00c9a6fb\;2010_01_12_12_12_34.pdf;CPostal, Data, Nome;2;0.00013;8;7013
29;RPT000029;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\9\12\24c53af4-350b-4ed8-8e19-02cb12a574c7\;9321fa42-12d7-4645-8afc-45d11485d97d.1..pdf;IBAN, Profissao, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;13;1343
30;RPT000030;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2013\11\15\50020a80-ff48-431c-af08-42df7be29353\;6b7a7fc9-afd6-4a59-963e-8e417c24bee1.pdf;Filiacao, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;21;1406
31;RPT000031;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2017\10\10\ffc04d00-a7e0-4e20-915c-6a59aaacc73b\;04a77dee-2a98-4684-8b6d-025f564de2ec.1..xlsx;Profissao, Nome, DesignacaoCP;2;0.00013;492;1891
32;RPT000032;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2013\7\4\381f9644-847c-4cb7-be5e-5880f821ad8b\;826670e4-a96f-4be5-9108-a3d2a4b5194d.pdf;IBAN, Profissao, Telefone, CPostal, Data, DesignacaoCP, Nome;4;0.00026;17;1865
33;RPT000033;Custos das unidades;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\3\30\6cf0bc36-fc50-4f47-a978-a6fc08c93b46\;471ad916-35d4-4cc7-9a3c-23e3e7899daa.1..pdf;;0;0.00000;0;4499
34;RPT000034;Projectos externos;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2014\2\18\94e92796-656f-4ddb-bf60-fd0fd70c6fbf\;8e60a3cd-e328-43de-9001-3c612eb5dbc1.pdf;;0;0.00000;0;7430
35;RPT000035;Clientes - Linkcom;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2013\2\7\969d3d03-f072-4b44-b888-85b3bb4ee4d8\;8db65f10-522d-42b8-b1e2-ae1d57ec3199.pdf;Filiacao, CPostal, Data, DesignacaoCP, Nome;5;0.00033;8;1445
36;RPT000036;;\\psedoclink01.aitec.pt \D$\edoclink\instances\edoc\Store01 \2016\11\14\99f0ea53-b476-4d2a-88b1-e985f6b2a78e\;4c69ddce-0926-4df0-ab8c-6de038126e32.1..xlsx;Profissao, Nome;2;0.00013;202;1773
