Key;Label;Tipo Ficheiro;Pasta;Ficheiro;Tipo de Dado;Clas. Risco;Densidade Risco;Nr Dados;Tamanho Documento
000001;RPT000001;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2012\10\23\d44f370c-73e5-4334-bb92-b520bc1c41f5\;922c5f4e-6145-4387-8798-33fc8fc31705.pdf;;0;0.00000;0;2617
000002;RPT000002;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\2\19\7abb4057-93ce-40f4-87f8-2492b2d31d14\;905da5dc-c33b-469c-abbd-e5cd9c340e19.1..pdf;Filiacao, Morada, CPostal, Data, DesignacaoCP, Nome;5;0.00033;14;3163
000003;RPT000003;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2015\1\27\ec4eb35b-a181-4de2-91c7-f68f5259af10\;bf6d4089-b15d-4cef-b526-7c7f68cdcd32.1..pdf;Filiacao, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;17;1395
000004;RPT000004;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\11\29\9f7d59cd-9e36-4b28-b199-be5588372176\;4af03c6a-7d72-44a4-8c02-4347b3345828.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;2012
000005;RPT000005;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\7\17\58f486ea-2c2b-4bd6-8c7e-d434aa4ffa7e\;b7abce11-b0f1-458f-b24b-42a48ec17875.1..pdf;IBAN, NIB, Morada, CPostal, Data, DesignacaoCP, Nome;4;0.00026;16;2398
000006;RPT000006;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\3\30\0bdd5f4d-4130-4f03-adee-d97447cbfb15\;7a141713-a358-44ef-83bb-71faff91560f.1..pdf;;0;0.00000;0;1497
000007;RPT000007;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2012\7\27\a932132e-71f8-4afe-91af-0636d882be5c\;b5f70af8-4d29-449c-8362-ba82826acc86.pdf;CPostal, Data, EMAIL, DesignacaoCP, Nome;2;0.00013;25;20493
000008;RPT000008;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\2\2\585ebe3a-9df9-4262-abeb-f794a3a21164\;300f6ade-e7cb-48f7-bb98-0f0e3ed3ab78.1..pdf;Filiacao, IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;5;0.00033;19;7619
000009;RPT000009;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2016\8\22\77e7c20c-2fbd-4645-91a2-3abd110ee21a\;9c3d31ff-a017-433e-963e-5d8517cccd3a.1..pdf;IBAN, NIB, Telefone, Morada, CPostal, Data, EMAIL, DesignacaoCP, Nome;4;0.00026;20;3071
000010;RPT000010;pdf;\\psedoclink01.aitec.pt\D$\edoclink\instances\edoc\Store01\2018\6\6\022d18f1-1f99-4c65-a2ca-8deccc4c1a23\;28b79189-3fd8-4dea-84b9-daa96b4fa3eb.1..pdf;;0;0.00000;0;4307
