Key;Label;Caminho;Path;File;EntityType;Risk;RiskDensity;EntityNr;SizeDocument
0;RPT000000;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;SAJ zambujo.xlsx;Data, Nome, DesignacaoCP;2;0,00025;11;1896
1;RPT000001;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;SAR  L FERREIRA.xlsx;Nome, DesignacaoCP;2;0,00025;11;1905
2;RPT000002;docx;C:\Users\m12003091\Desktop\AVALIAÇÕES\Avaliações Militares_2014\;avaliação por destacamento do avaliado_martins dos santos..docx;Profissao, Morada, CPostal, Nome, DesignacaoCP;2;0,00013;11;763
3;RPT000003;pdf;C:\Users\m12003091\Desktop\PASTA LIMA\;ASSENTO DE NASCIMENTO LIMA.pdf;;0;0;0;2845
4;RPT000004;xls;C:\Users\m12003091\Desktop\AVALIAÇÕES\AVALIAÇÕES\AVALIAÇÕES MILITARES\PESSOAL\;CAB COSTA.xls;Profissao, Nome, DesignacaoCP;2;0,00025;16;2990
5;RPT000005;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2014\2º semestre\guias cefa\;cunha bento.xlsx;Nome, DesignacaoCP;2;0,00025;10;1949
6;RPT000006;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\1º SEMESTRE\GUIAS DITIC\UAICM\;GUIA _ PROMOÇÃO SAJ ETC MARTINS CORREIA.xlsx;Profissao, Nome, DesignacaoCP;2;0,00025;9;1921
7;RPT000007;pdf;C:\Users\m12003091\Desktop\Livro de integração 2011_DAGI\livro de integração dagi 2015\;PCA 15_ Anexo A.pdf;Profissao, Nome;2;0,00025;5;2847
8;RPT000008;xlsx;C:\Users\m12003091\Desktop\PASTA PAFs\PAFs 2013\2º SEMESTRE\GUIAS UAICM\;CARLOS FERREIRA DO AMARAL _CDIACM.xlsx;Nome, DesignacaoCP;2;0,00025;11;1882
9;RPT000009;pdf;C:\Users\m12003091\Desktop\PASTA LIMA\;CARTÃO ADM PEDRO.pdf;;0;0;0;1022
10;RPT000010;doc;C:\Users\m12003091\Desktop\;Guia de remessa - CAIXA 1-2018-3.doc;Data, Nome;2;0,00025;8;2469
