Key;Label;Table.Column;EntityType;Risk;Prob;Model;ColumnLines;Column
1;RPT000001;ACCESS_INHERITED_FROM_CODES.code;Filiacao;5;0.85;NERDictionary;22;PP
2;RPT000002;ACCESS_INHERITED_FROM_CODES.description;Nome;1;0.85;NERDictionary;22;Autor
3;RPT000003;ACCESS_INHERITED_FROM_CODES.description;Nome;1;0.85;NERDictionary;22;Autor
4;RPT000004;ACCESS_INHERITED_FROM_CODES.description;Nome;1;0.85;NERDictionary;22;Autor
5;RPT000005;ACCESS_INHERITED_FROM_CODES.description;Nome;1;0.85;NERDictionary;22;Autor
6;RPT000006;ACCESS_INHERITED_FROM_CODES.description;Nome;1;0.85;NERDictionary;22;Corrente
7;RPT000007;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
8;RPT000008;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
9;RPT000009;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
10;RPT000010;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
11;RPT000011;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
12;RPT000012;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
13;RPT000013;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
14;RPT000014;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
15;RPT000015;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
16;RPT000016;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
17;RPT000017;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
18;RPT000018;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
19;RPT000019;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
20;RPT000020;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
21;RPT000021;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
22;RPT000022;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
23;RPT000023;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
24;RPT000024;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
25;RPT000025;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
26;RPT000026;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
27;RPT000027;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
28;RPT000028;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
29;RPT000029;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
30;RPT000030;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
31;RPT000031;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
32;RPT000032;ACL_PENDING_OPERATIONS.inherited_from;Filiacao;5;0.8500000000000006;NERDictionary;12476;PP
