Key;Label;Tipo Ficheiro;Pasta;Ficheiro;Tipo de Dado;Clas. Risco;Densidade Risco;Nr Dados;Tamanho Documento
0;RPT000000;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2018\Entradas\STI\;E-329-STI.pdf;Nome;1;0,00007;1;69231
2;RPT000002;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2006\ALMOÇOS BORDADAS\;Almoço Natal.xls;Habilitacao, Data, DesignacaoCP, Nome;2;0,00013;263;1360
4;RPT000004;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2007\DECLARAÇÕES\LICENÇA PARA ESTUDOS DOUTORAMENTO\;DECLARAÇÃO LICENÇA ESTUDOS PARA DOUTORAMENTO.doc;Habilitacao, Profissao, Nome, DesignacaoCP;2;0,00007;17;799
6;RPT000006;xlsx;\\sti-srv-01\STI\Servicos Partilhados\2017\ESCALAS ETIR\Escalas das Seccoes ETIR recebidas\ETIR - T\;Escala ETIR_T 2017_08 - Alt1.xlsx;Nome;1;0,00003;11;266
8;RPT000008;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\1SAR C Martins Baptista\Guias 129_130\;M129-2012-ETNA.xls;Nome, DesignacaoCP;2;0,00013;6;4086
10;RPT000010;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\2SAR L NETO\GUIAS M129 M130\;M129 ETNA CURSO 3 a 5DEZ13.pdf;DesignacaoCP, Nome;2;0,00013;2;5390
12;RPT000012;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DAGI\CIVIS\AT Fátima Gonçalves\;S 65 NOTA DAGI.pdf;;0;0;0;9387
14;RPT000014;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2013\LOUVORES\SSTI\;LOUVOR_S_COELHO.pdf;;0;0;0;13849
16;RPT000016;pdf;\\sti-srv-01\STI\Servicos Partilhados\Publicações\Nótulas\Nótulas 2013\;Notula 972 DIVREC CN DN ETNA-DCSI SSTI 7269_2013_13000_I_1_3.pdf;Data;1;0,00007;2;1306
18;RPT000018;docx;\\sti-srv-01\STI\Servicos Partilhados\2015\MAPA DE ASSIDUIDADE\DAGI\;NOTA ENVIO MAPA-ASSIDUIDADE MAIO.docx;Profissao, Morada, CPostal, EMAIL, Nome, DesignacaoCP;2;0,00013;12;1255
20;RPT000020;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Sargentos\SCH ETC Marques Simoes\Guias\;EX. MÉDICO 17.pdf;Profissao, Nome, DesignacaoCP;2;0,00013;13;3039
22;RPT000022;doc;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DAGI\Destacados\Oficiais\2TEN TN - Sofia Alves\Prorrogação de contrato\;Requerimento prorrogação RC - 2016.doc;Nome, DesignacaoCP;2;0,00007;13;368
24;RPT000024;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2013\LOUVORES\MEDALHAS\;MEDALHAS - DIPLOMAS-NA DSP-(a solicitar)13SET13-ACT (EM EXECUÇAO).doc;Nome, DesignacaoCP;2;0,00007;12;585
26;RPT000026;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\Base Dados SSTI-2012\DAGI\INFORMAÇÕES DAGI\DAGI\Avaliações Extra_Militares\Avaliações Extraordinárias 10\;Avaliacoes Extraordinárias STEN CATIA MARTINS.doc;Profissao, Nome, DesignacaoCP;2;0,00013;8;1264
28;RPT000028;doc;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2005\REQUERIMENTOS\REQUERIMENTOS CONCURSOS PINs e OUTROS\;Concurso Oficiais Técnicos.doc;Profissao, Nome;2;0,00007;10;183
30;RPT000030;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2014\Saidas\DITIC\MAIO\;S-028-DITIC.pdf;Data, Nome, DesignacaoCP;2;0,00013;15;18976
32;RPT000032;pdf;\\sti-srv-01\STI\Servicos Partilhados\Pessoal\DITIC\Destacados\Oficiais\1TEN EN-AEL Santana Gonçalves\oficios_Estagio\;Minuta_EDISOFT.pdf;;0;0;0;15622
34;RPT000034;xlsx;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Oficiais\CTEN SEP Penim Garcia\Férias\2013\;Férias 05DEZ13.xlsx;Morada, CPostal, Nome, DesignacaoCP;2;0,00013;7;2314
36;RPT000036;pdf;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2011\ORDENS\ODU-SSTI\;ODU_SSTI_31-11.pdf;;0;0;0;52119
38;RPT000038;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\BASE DE DADOS STI\DITIC\Sargentos\_destacados\1SAR C Olímpio\Guias 129_130\;M129-CEFA-ANDEBOL 2013.xls;Nome, DesignacaoCP;2;0,00013;11;2718
40;RPT000040;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2014\Entradas\DAGI\JUNHO\;E-009-DAGI.pdf;;0;0;0;12435
42;RPT000042;xls;\\sti-srv-01\STI\Servicos Partilhados\Anos Anteriores\2012\FÉRIAS\DAGI-Planeamentos Férias -2010\;PlanoFérias já Gozadas act 19AGO10.xls;Nome, DesignacaoCP;2;0,00013;25;4104
44;RPT000044;pdf;\\sti-srv-01\STI\Servicos Partilhados\Secretaria\Gestão Documental\Documentos\2017\Entradas\STI\;E-147-STI.(E-199-DITIC).pdf;Filiacao, Telefone, Morada, CPostal, EMAIL, Nome, DesignacaoCP;5;0,00033;22;29769
